inputs,feature_name,top_k,matryoshka,outcome,extracted_interpretation,test_interpretation_discrimination_accuracy,tri_valley_interpretation_discrimination_accuracy
findings,Concept_85,40,"[128, 512, 2048, 8192]",cancer_abdomen_primary,Cirrhotic liver morphology and varices.,0.95,0.95
findings,Concept_90,40,"[128, 512, 2048, 8192]",gout,Findings related to the prostate and seminal vesicles.,0.75,0.75
findings,Concept_64,40,"[128, 512, 2048, 8192]",osteoporosis,Metastatic disease.,1.0,1.0
findings,Concept_96,40,"[128, 512, 2048, 8192]",gout,Complex post-surgical changes or the presence of indwelling medical devices.,0.8,0.65
findings,Concept_101,40,"[128, 512, 2048, 8192]",cancer_abdomen_primary,The presence of pleural effusion and ascites.,0.875,0.8
findings,Concept_21,40,"[128, 512, 2048, 8192]",osteoporosis,Calcification of the coronary arteries or cardiac valves.,0.9,0.7
findings,Concept_52,40,"[128, 512, 2048, 8192]",gout,Intra-abdominal fluid collections with rim enhancement or internal gas.,0.8,0.95
findings,Concept_98,40,"[128, 512, 2048, 8192]",pleural_effusion,Peritoneal carcinomatosis.,0.95,0.95
findings,Concept_115,40,"[128, 512, 2048, 8192]",osteoporosis,Major structural abnormalities of the spine.,0.85,0.9
findings,Concept_34,40,"[128, 512, 2048, 8192]",cancer_abdomen_primary,Anasarca and ascites.,0.9,0.85
findings,Concept_26,40,"[128, 512, 2048, 8192]",cancer_abdomen_primary,The presence of ascites or peritoneal carcinomatosis.,0.8,0.65
findings,Concept_127,40,"[128, 512, 2048, 8192]",cancer_liver,Postsurgical changes from major abdominal surgery or the presence of significant focal or diffuse liver pathology.,0.65,0.65
findings,Concept_1765,40,"[128, 512, 2048, 8192]",cancer_liver_primary,Morphological changes of the liver including nodular contour and lobar redistribution (caudate or left lobe hypertrophy).,0.95,0.95
findings,Concept_95,40,"[128, 512, 2048, 8192]",bowel_obstruction,Postsurgical changes of a colectomy and the presence of an intestinal stoma (ileostomy or colostomy).,0.95,0.95
findings,Concept_3,40,"[128, 512, 2048, 8192]",cancer_anywhere,Moderate to severe atherosclerotic disease.,0.85,0.8
findings,Concept_97,40,"[128, 512, 2048, 8192]",cancer_abdomen_primary,A fat-containing umbilical hernia.,0.9,0.95
findings,Concept_42,40,"[128, 512, 2048, 8192]",surgically_absent_gallbladder,"Postsurgical changes of the pancreas, most commonly a Whipple procedure, or severe pancreatitis with complications such as necrosis, peripancreatic fluid collections, or pseudocysts.",0.95,0.85
findings,Concept_114,40,"[128, 512, 2048, 8192]",dementia,The presence of an implanted electronic medical device.,0.95,0.725
findings,Concept_40,40,"[128, 512, 2048, 8192]",anasarca,Post-surgical changes consistent with prior abdominal organ resection and/or anastomosis.,0.85,0.8
findings,Concept_93,40,"[128, 512, 2048, 8192]",cancer_liver_primary,"An adrenal gland nodule, mass, or thickening.",0.9,1.0
findings,Concept_66,40,"[128, 512, 2048, 8192]",anemia,Postsurgical changes of Roux-en-Y gastric bypass.,0.975,1.0
findings,Concept_108,40,"[128, 512, 2048, 8192]",cancer_anywhere,Pathology of the spleen or splenic vasculature.,1.0,0.85
findings,Concept_149,40,"[128, 512, 2048, 8192]",pleural_effusion,"The presence of one or more indwelling tubes, drains, or catheters.",0.85,0.9
findings,Concept_183,40,"[128, 512, 2048, 8192]",cancer_pancreatic_primary,Evidence of significant focal or structural hepatobiliary disease.,0.85,0.7
findings,Concept_24,40,"[128, 512, 2048, 8192]",biliary_ductal_dilation,Abdominopelvic venous thrombosis or pulmonary embolism.,0.95,0.95
findings,Concept_119,40,"[128, 512, 2048, 8192]",cancer_liver_primary,Hip arthroplasty and/or severe degenerative or destructive changes of the hip joint(s).,0.9,0.9
findings,Concept_71,40,"[128, 512, 2048, 8192]",submucosal_edema,A surgical anastomosis involving the jejunum or a percutaneous tube terminating in the jejunum.,0.85,0.85
